User,Rating,Review,Likes,Date
Carlos Alvarez Jr,1,New update completely killed the widget. The new widget looks terrible and constantly says its offline but than when I go to spotify I can play my music. Overall a terrible update and bad UI,1,2026-06-29 05:00:00
polarz,1,trash ads everywhere and can't even play the songs you want no point in using trashify,0,2026-06-29 04:57:46
Donald R Dailey,3,Slow Charging station,0,2026-06-29 04:54:58
Cove Mayfield,1,Only 6 skips per hour and I only chose like 3 songs and nits saying I have to come back tomorrow to choose specific song son ny Playlist. Fix your app or people will start leaving. im about to go to YT music.,1,2026-06-29 04:45:43
A Google user,1,"You don't care for the artists, you don't care for the consumer (exorbitant fees and 'free' users subjected (enslaved in some respects) to crazy amounts of ads). All you care for is yourselves and your bottom line. I'm better off flicking through the radio stations to listen to music. Bye bye Spotifye",0,2026-06-29 04:44:41
Princess Roxas,5,idk,0,2026-06-29 04:38:57
Paul Chevella,5,"w app. very annoying without premium (cuz ads and shi). very peaceful with premium. honestly, the premium is worth it and its not even THAT expensive based on the quality, library and user interface ts offers ykwim. overall good.",0,2026-06-29 04:37:22
Paul Bisson Cheŕy,5,"everything you ever want to listen to, and sound quality is very clear with no issues at all",0,2026-06-29 04:36:42
Nico Ducon,1,"The only reason I'm still using Spotify is because there's no way to transfer my 7+ years of data to another service. Please stop pushing for AI features no one asked for and spend you resources to make a good app. And pay your artists a proper amount instead of fractions of pennies/listen. The new widget is completely useless and doesn't work, you should at the very least give us the choice to keep the old widget that was fine and worked well.",30,2026-06-29 04:35:09
Hachem bouhlel,3,overrated!,0,2026-06-29 04:34:43
Omar Diagne,5,Amazing 😍,0,2026-06-29 04:27:47
liam kisun,4,premium is really good but kinda expensive,0,2026-06-29 04:26:52
Monsters Fire,2,why do i have to get premium to choose what song I want while connected to internet and also i cant skip the song,0,2026-06-29 04:24:27
Adrian Ross,5,rlly good for music,0,2026-06-29 04:23:47
Carter Stewart,5,"absolutely amazing, you can listen to anything you want and have no skips",0,2026-06-29 04:23:26
Erek Jan Ceran,5,relaxing app,0,2026-06-29 04:15:53
J'korion Quaviuous Ty'roil De'micheal,1,"it randomly decided I don't have Internet no matter what I do so I can't do anything about my subscription and it's limited to downloaded stuff I have full bars by the wayalso impossible to use without premium, update the quality is terrible no matter what I do it breaks up and i have everything downloaded on high quality",0,2026-06-29 04:08:11
Shawnyetta Ruffin,5,Love it!,0,2026-06-29 04:06:05
Ala Besharatloo,5,great music app,0,2026-06-29 04:03:38
Ron Henry,5,"Perfect, just perfect! For the price and the music available through this app? Its a no brainer!!",0,2026-06-29 04:01:50
Taylor Green,5,The only thing I have to say is its js good.,0,2026-06-29 03:59:24
iyung chairul,5,Spotify make me happy Life better with spotify,0,2026-06-29 03:58:37
lucky gamer,4,"For the past few months the app has been very laggy when opening the app. Song quality, playlists and layout are all perfect. But when opening the app its barely usable and have to wait sometimes up to a minute before being able to play a song.",0,2026-06-29 03:57:47
Sharan Mir,1,fu*k ya Spotify! too many ads,0,2026-06-29 03:54:43
Alexander Dugan,5,hey we need a signed playlist thing for family mode from other members of the family list! something that's saying they contributed to the music collection make it kids stuff to got it for moms!,0,2026-06-29 03:54:21
Hanniel,1,it's good but I don't like the premium,0,2026-06-29 03:51:44
Darko Najdovski,5,"i listen to podcast, they dont have ads if you are not premium user",0,2026-06-29 03:48:55
eden (Redemption),1,dogshit now,0,2026-06-29 03:48:09
Averiegn Christwell Estillore,5,"I don't mind the adds as long as I can still listen to music while using other apps. since I only have one gadget. it is a pretty good use for sound trips. Also, they might encourage you to buy or enter premium, I would love too but I don't have the cash or budget. Altho, I still hope, they're not gonna ban me from listening to music while I do my school works.",0,2026-06-29 03:47:06
Tshepo Motshwaedi,2,Too many ads,0,2026-06-29 03:40:50
Rydia Koch,4,gives adds that are not good for streaming out loud,0,2026-06-29 03:40:03
Luna Marcelli,5,love it,0,2026-06-29 03:34:51
Adil Riza,5,"Still one of the Best Streaming app,but can provide Loseless audio in Standard Plan I feel,The recommendations is superb,I like The Jam feature a lot,Overall Best Music streaming Platform❤️",0,2026-06-29 03:30:02
idk Bro,2,"everything is good, but the new widget is terrible!! it never works!",0,2026-06-29 03:27:22
Brodi,5,music is life.,0,2026-06-29 03:27:14
Hero Brine,5,Best just ❤️❤️,0,2026-06-29 03:26:01
Qhawe Njovana,5,good,0,2026-06-29 03:23:39
brvan salcedo,5,great and latest compilation of music,0,2026-06-29 03:22:22
Dominic Bissonnette,2,Was forced to update the widget and now it keeps going offline. Using the paid version. Make sure stuff works before you force people on it.,0,2026-06-29 03:21:57
Samuel Strauss,5,So much music! Never had an issue finding a song.,0,2026-06-29 03:20:46
MohdHaroon Ahmed,4,Thise app is very good & free you can listen music on turning your phone off this is amazing 😍 i really like it..... ~ But if you want to Download music you need to purchase the premium or something but any ways I really like this app~> Goo.. and Download this app and have fun.. byyyy......... 👋,0,2026-06-29 03:16:59
Lord Wasim,5,best app for song listening,0,2026-06-29 03:14:59
